[["40c"],0] NaN
[[18,9,5,3],0] 2
[[18,9,5,2,1],0] 0
[[18,8,7,1,1],0] 0
[[18,8,7],0] 0
[[18,8,6,4],0] 0
[[18,8,6,1],0] 0
[[18,8,4,3],0] 0
[[18,8,4,2,1],0] 0
[[18,8,3,3,2],0] 0
[[18,8,3,2,2,1],0] 0
[[18,8,3,1,1,1],0] 0
[[18,8,3,1],0] 0
[[18,8,2,2,2],0] 0
[[18,8,2,1,1,1,1],0] 0
[[18,8,2,1,1],0] 0
[[18,8,2],0] 0
[[18,7,7,3],0] 2
[[18,7,7,2,1],0] 0
[[18,7,6,3,1],0] 0
[[18,7,6,2],0] 0
[[18,7,4,4,1],0] 0
[[18,7,4,3,3],0] 0
[[18,7,4,2,2],0] 0
[[18,7,4,1,1,1,1],0] 0
[[18,7,4,1,1],0] 0
[[18,7,4],0] 0
[[18,7,3,3,1],0] 2
[[18,7,3,2,2,2],0] 0
[[18,7,3,2,1,1],0] 0
[[18,7,3,2],0] 0
[[18,7,2,2,1,1,1],0] 0
[[18,7,2,2,1],0] 0
[[18,7,1,1,1,1,1],0] 2
[[18,7,1,1,1],0] 2
[[18,7,1],0] 2
[[18,6,6,6],0] 0
[[18,6,6,3],0] 0
[[18,6,6,2,1],0] 0
[[18,6,5,5],0] 0
[[18,6,4,4,1,1],0] 0
[[18,6,4,4],0] 0
[[18,6,4,3,2],0] 0
[[18,6,4,2,2,1],0] 0
[[18,6,4,1,1,1],0] 0
[[18,6,4,1],0] 0
[[18,6,3,3,2,2],0] 0
[[18,6,3,3,1,1],0] 0
[[18,6,3,3],0] 0
[[18,6,3,2,1,1,1],0] 0
[[18,6,3,2,1],0] 0
[[18,6,2,2,2,2],0] 0
[[18,6,2,2,1,1,1,1],0] 0
[[18,6,2,2,1,1],0] 0
[[18,6,2,2],0] 0
[[18,6,1,1,1,1,1,1],0] 0
[[18,6,1,1,1,1],0] 0
[[18,6,1,1],0] 0
[[18,6],0] 0
[[18,5,5,4,2],0] 0
[[18,5,5,3,1,1],0] 2
[[18,5,5,3],0] 2
[[18,5,5,2,1,1,1],0] 0
[[18,5,5,2,1],0] 0
[[18,4,4,4,3,1],0] 0
[[18,4,4,4,2],0] 0
[[18,4,4,3,2,2],0] 0
[[18,4,4,3,1,1],0] 0
[[18,4,4,3],0] 0
[[18,4,4,2,2,2,1],0] 0
[[18,4,4,2,1,1,1],0] 0
[[18,4,4,2,1],0] 0
[[18,4,3,3,3,1],0] 0
[[18,4,3,3,2,1,1],0] 0
[[18,4,3,3,2],0] 0
[[18,4,3,2,2,1,1,1],0] 0
[[18,4,3,2,2,1],0] 0
[[18,4,3,1,1,1,1,1],0] 0
[[18,4,3,1,1,1],0] 0
[[18,4,3,1],0] 0
[[18,4,2,2,2,2,2],0] 0
[[18,4,2,2,2,1,1],0] 0
[[18,4,2,2,2],0] 0
[[18,4,2,1,1,1,1,1,1],0] 0
[[18,4,2,1,1,1,1],0] 0
[[18,4,2,1,1],0] 0
[[18,4,2],0] 0
[[18,3,3,3,3,3],0] 2
[[18,3,3,3,3,2,1],0] 0
[[18,3,3,3,2,2],0] 0
[[18,3,3,3,1,1,1,1],0] 2
[[18,3,3,3,1,1],0] 2
[[18,3,3,3],0] 2
[[18,3,3,2,2,2,1],0] 0
[[18,3,3,2,1,1,1,1,1],0] 0
[[18,3,3,2,1,1,1],0] 0
[[18,3,3,2,1],0] 0
[[18,3,2,2,2,2,1,1],0] 0
[[18,3,2,2,2,2],0] 0
[[18,3,2,2,1,1,1,1],0] 0
[[18,3,2,2,1,1],0] 0
[[18,3,2,2],0] 0
[[18,3,1,1,1,1,1,1,1,1],0] 2
[[18,3,1,1,1,1,1,1],0] 2
[[18,3,1,1,1,1],0] 2
[[18,3,1,1],0] 2
[[18,3],0] 2
[[18,2,2,2,2,2,1,1,1],0] 0
[[18,2,2,2,2,2,1],0] 0
[[18,2,2,2,1,1,1,1,1],0] 0
[[18,2,2,2,1,1,1],0] 0
[[18,2,2,2,1],0] 0
[[18,2,1,1,1,1,1,1,1,1,1],0] 0
[[18,2,1,1,1,1,1,1,1],0] 0
[[18,2,1,1,1,1,1],0] 0
[[18,2,1,1,1],0] 0
[[18,2,1],0] 0
[[17,17,1],0] 1
[[17,15,3],0] 1
[[17,15,2,1],0] 2
[[17,13,5,1],0] 1
[[17,12,4,1,1],0] 0
[[17,12,4],0] 0
[[17,12,3,3],0] 0
[[17,12,3,2,1],0] 0
[[17,12,2,2],0] 0
[[17,12,1,1,1],0] 0
[[17,12,1],0] 0
[[17,11,7],0] 1
[[17,11,6,1],0] 2
[[17,11,4,3],0] 0
[[17,11,4,2,1],0] 0
[[17,11,3,1,1,1],0] 1
[[17,11,3,1],0] 1
[[17,11,2,2,2],0] 0
[[17,11,2,1,1],0] 2
[[17,11,2],0] 2
[[17,10,5,2],0] 0
[[17,9,8,1],0] 0
